,id,date,area,price,age,postalCode,district,percent,totalPrice,dateShamsi,usingType,frameType,year,quarter,month,region
2671,16122634,2018-03-10,107.18,9.610002,5,146376,2,100.0,1030.0,1396/12/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,14637.0
1705,16237097,2018-04-26,64.61,4.596812,11,161494,7,100.0,297.0,1397/02/06,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,16149.0
1702,17093606,2018-11-17,57.46,16.341803,8,147669,5,100.0,939.0,1397/08/26,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,14766.0
6164,16261433,2018-05-01,51.0,2.058824,10,179379,15,100.0,105.0,1397/02/11,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,17937.0
4471,16282151,2018-05-07,50.73,4.435245,3,164199,7,100.0,225.0,1397/02/17,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,16419.0
4045,15914623,2018-01-16,105.65,6.814955,7,165399,4,100.0,720.0,1396/10/26,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16539.0
836,16818638,2018-08-30,117.8,8.319185000000001,2,134569,10,100.0,980.0,1397/06/08,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,13456.0
4025,16272091,2018-05-05,81.99,9.940237,1,146367,2,100.0,815.0,1397/02/15,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14636.0
6217,16419295,2018-06-03,70.32,7.394767,17,146176,2,100.0,520.0,1397/03/13,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14617.0
4307,16006829,2018-02-08,83.37,4.617968,0,161866,7,100.0,385.0,1396/11/19,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-02-01,16186.0
3499,17154325,2018-12-05,64.99,11.540237,7,147598,5,100.0,750.0,1397/09/14,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,14759.0
3082,16441407,2018-06-10,110.09,10.491416000000001,6,143896,6,100.0,1155.0,1397/03/20,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14389.0
4544,16283772,2018-05-07,52.0,4.903846,5,165481,4,100.0,255.0,1397/02/17,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,16548.0
3546,16124777,2018-03-10,107.2,7.369403,16,19981,2,100.0,790.0,1396/12/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,19981.0
4518,16328245,2018-05-16,84.88,5.7139489999999995,2,134684,10,100.0,485.0,1397/02/26,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13468.0
6179,16614481,2018-07-15,125.0,12.0,2,147587,2,100.0,1500.0,1397/04/24,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,14758.0
5052,16894727,2018-09-18,73.0,5.726026999999999,0,134885,1,100.0,418.0,1397/06/27,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,13488.0
1899,16009208,2018-02-08,127.88,7.428839999999999,15,147161,5,100.0,950.0,1396/11/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14716.0
5830,15977214,2018-02-01,120.03,4.73215,3,168781,4,100.0,568.0,1396/11/12,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,16878.0
1761,15903251,2018-01-14,110.0,7.272727000000001,0,167485,4,100.0,800.0,1396/10/24,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16748.0
4483,16881575,2018-09-15,145.0,13.013793,2,14157,6,100.0,1887.0,1397/06/24,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14157.0
1305,16214680,2018-04-21,75.53,7.017078999999999,4,157381,7,100.0,530.0,1397/02/01,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,15738.0
1555,15875135,2018-01-07,70.1,1.597718,11,115481,12,100.0,112.0,1396/10/17,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,11548.0
4855,16871493,2018-09-12,40.68,6.3913470000000006,4,135595,10,100.0,260.0,1397/06/21,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,13559.0
2418,16767585,2018-08-16,78.3,10.217114,11,147768,5,100.0,800.0,1397/05/25,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14776.0
490,16287742,2018-05-08,55.14,7.091041000000001,27,143183,6,100.0,391.0,1397/02/18,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,14318.0
988,16675040,2018-07-28,69.0,2.173913,7,137775,18,100.0,150.0,1397/05/06,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,13777.0
6149,16892150,2018-09-17,133.41,11.018664,22,146691,2,100.0,1470.0,1397/06/26,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14669.0
76,15872510,2018-01-06,83.0,3.704819,0,134885,5,100.0,307.5,1396/10/16,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13488.0
1894,16338769,2018-05-19,77.81,7.711091000000001,6,147791,5,100.0,600.0,1397/02/29,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14779.0
2208,16575809,2018-07-07,76.44,6.933542999999999,13,149387,22,100.0,530.0,1397/04/16,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,14938.0
43,17036356,2018-10-28,109.47,13.382662,7,164769,8,100.0,1465.0,1397/08/06,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16476.0
6290,16124311,2018-03-10,52.27,3.1949490000000003,3,135181,9,100.0,167.0,1396/12/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,13518.0
5634,16146986,2018-03-17,150.0,13.0,1,19666,2,100.0,1950.0,1396/12/26,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,19666.0
1836,15933540,2018-01-21,84.0,6.190476,1,147178,5,100.0,520.0,1396/11/01,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14717.0
1037,16910574,2018-09-25,34.95,14.964235,11,147185,5,100.0,523.0,1397/07/03,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,14718.0
3692,15980429,2018-02-02,49.54,3.078321,3,136971,17,100.0,152.5,1396/11/13,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13697.0
193,16444782,2018-06-11,94.91,6.8696660000000005,7,14867,5,100.0,652.0,1397/03/21,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14867.0
623,15894538,2018-01-11,199.8,12.012012,1,19379,1,100.0,2400.0,1396/10/21,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,19379.0
663,16634730,2018-07-19,121.63,7.522815,29,166564,4,100.0,915.0,1397/04/28,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,16656.0
2320,16303796,2018-05-12,47.41,2.10926,4,137783,18,100.0,100.0,1397/02/22,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13778.0
4882,15876245,2018-01-07,69.89,3.362427,5,161893,7,100.0,235.0,1396/10/17,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16189.0
2799,16342331,2018-05-19,120.45,6.168534999999999,4,177881,14,100.0,743.0,1397/02/29,مسکوني,بتونی و فلزی,2018-01-01,2018-04-01,2018-05-01,17788.0
4189,16258177,2018-04-30,62.65,1.6440540000000001,10,137665,18,100.0,103.0,1397/02/10,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,13766.0
1387,16544991,2018-07-01,120.0,10.6,4,19436,3,100.0,1272.0,1397/04/10,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,19436.0
5436,16039885,2018-02-17,74.96,2.001067,18,165165,8,100.0,150.0,1396/11/28,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,16516.0
1884,16008829,2018-02-08,59.47,2.52228,11,138665,9,100.0,150.0,1396/11/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13866.0
3762,16806482,2018-08-27,125.51,8.365867,19,19816,2,100.0,1050.0,1397/06/05,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,19816.0
6514,16784884,2018-08-21,72.13,7.181478,3,165488,4,100.0,518.0,1397/05/30,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,16548.0
432,15873945,2018-01-07,52.35,3.638968,3,165761,4,100.0,190.5,1396/10/17,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16576.0
1301,16439327,2018-06-10,41.26,5.332041,6,131986,11,100.0,220.0,1397/03/20,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,13198.0
5496,16907274,2018-09-24,67.2,4.21131,15,135796,10,100.0,283.0,1397/07/02,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,13579.0
6489,16967796,2018-10-08,110.25,12.879819,16,169393,1,100.0,1420.0,1397/07/16,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16939.0
2718,17014793,2018-10-21,111.42,11.936816,5,148171,5,100.0,1330.0,1397/07/29,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,14817.0
5383,16713133,2018-08-05,130.0,20.307692000000003,0,19576,2,100.0,2640.0,1397/05/14,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,19576.0
3825,16868557,2018-09-11,105.0,3.6190480000000003,6,147761,5,100.0,380.0,1397/06/20,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14776.0
970,16987325,2018-10-14,60.0,3.833333,9,137771,18,100.0,230.0,1397/07/22,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,13777.0
1273,15946471,2018-01-24,43.45,3.394707,12,176975,14,100.0,147.5,1396/11/04,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,17697.0
4464,17168537,2018-12-10,79.12,14.408493,1,144471,2,100.0,1140.0,1397/09/19,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,14447.0
3143,16479172,2018-06-18,57.54,3.0239830000000003,11,117791,12,100.0,174.0,1397/03/28,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,11779.0
2670,16347381,2018-05-20,128.0,8.4375,0,147664,5,100.0,1080.0,1397/02/30,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14766.0
254,16833306,2018-09-03,114.19,9.063841,6,177893,14,100.0,1035.0,1397/06/12,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,17789.0
4130,17135852,2018-11-30,121.36,7.992749000000001,15,17786,14,100.0,970.0,1397/09/09,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,17786.0
6250,16817202,2018-08-29,127.28,12.884978,1,166163,4,100.0,1640.0,1397/06/07,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-08-01,16616.0
6046,16709917,2018-08-04,78.86,8.052244,18,148375,5,100.0,635.0,1397/05/13,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14837.0
4444,16265298,2018-05-03,154.1,15.379624,0,19988,2,100.0,2370.0,1397/02/13,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,19988.0
3900,15940054,2018-01-22,90.67,7.003419,4,148378,5,100.0,635.0,1396/11/02,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14837.0
1572,16459023,2018-06-13,91.0,8.3,0,164564,8,100.0,755.3,1397/03/23,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,16456.0
2094,17106910,2018-11-20,145.3,13.764625,8,147368,5,100.0,2000.0,1397/08/29,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,14736.0
5164,16438034,2018-06-10,90.39,4.4805839999999995,3,177784,15,100.0,405.0,1397/03/20,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,17778.0
2592,16595122,2018-07-11,404.0,0.420792,5,138477,9,100.0,170.0,1397/04/20,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,13847.0
306,16369702,2018-05-24,250.0,12.76,0,166981,4,100.0,3190.0,1397/03/03,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,16698.0
1690,16569738,2018-07-05,166.59,13.08602,2,143186,6,100.0,2180.0,1397/04/14,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,14318.0
782,16117305,2018-03-08,82.0,4.548780000000001,1,164497,8,100.0,373.0,1396/12/17,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,16449.0
1553,16278586,2018-05-06,47.26,4.549302,18,138791,21,100.0,215.0,1397/02/16,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,13879.0
6459,16000344,2018-02-06,43.97,7.163975,14,151363,6,100.0,315.0,1396/11/17,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,15136.0
3911,16894782,2018-09-18,60.17,16.120991,0,144795,2,100.0,970.0,1397/06/27,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14479.0
5121,16023106,2018-02-13,79.46,6.1037,4,19568,1,100.0,485.0,1396/11/24,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,19568.0
3179,15924108,2018-01-18,69.42,6.6263320000000006,3,148475,5,100.0,460.0,1396/10/28,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14847.0
5661,16938798,2018-10-01,72.0,7.152778,1,161497,7,100.0,515.0,1397/07/09,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16149.0
2770,17053713,2018-11-03,100.0,9.33,1,199899,2,100.0,933.0,1397/08/12,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,19989.0
5294,17184379,2018-12-15,63.0,11.555556,7,145665,2,100.0,728.0,1397/09/24,مسکوني,فلزی,2018-01-01,2018-10-01,2018-12-01,14566.0
5237,15956569,2018-01-27,112.0,8.482142999999999,1,147575,5,100.0,950.0,1396/11/07,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14757.0
3803,16135417,2018-03-13,111.65,3.788625,8,177983,15,100.0,423.0,1396/12/22,مسکوني,فلزی,2018-01-01,2018-01-01,2018-03-01,17798.0
4588,16720801,2018-08-06,55.51,0.5899840000000001,20,165677,4,50.0,65.5,1397/05/15,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,16567.0
1106,17008456,2018-10-20,65.0,7.615385000000001,2,161667,7,100.0,495.0,1397/07/28,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16166.0
4042,16238357,2018-04-26,46.94,2.3434169999999996,17,134868,10,100.0,110.0,1397/02/06,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,13486.0
553,15921556,2018-01-18,62.06,3.818885,6,173666,13,100.0,237.0,1396/10/28,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,17366.0
702,16400650,2018-05-30,56.15,2.252894,16,135188,10,100.0,126.5,1397/03/09,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13518.0
1432,16127108,2018-03-11,85.64,12.143858,5,19667,3,100.0,1040.0,1396/12/20,مسکوني,فلزی,2018-01-01,2018-01-01,2018-03-01,19667.0
4041,16249835,2018-04-29,125.0,8.5,0,14156,6,100.0,1062.5,1397/02/09,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,14156.0
1353,16370598,2018-05-24,46.6,3.06867,19,176494,14,100.0,143.0,1397/03/03,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,17649.0
759,16906990,2018-09-24,77.0,6.8831169999999995,16,147587,5,100.0,530.0,1397/07/02,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14758.0
6007,16031375,2018-02-14,111.0,0.990991,16,165569,4,100.0,110.0,1396/11/25,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,16556.0
1155,16261448,2018-05-01,45.0,2.6222220000000003,0,118866,16,100.0,118.0,1397/02/11,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,11886.0
4098,16255845,2018-04-30,59.55,5.692695,15,147181,5,100.0,339.0,1397/02/10,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,14718.0
1992,15918428,2018-01-17,148.26,13.489815,5,19148,1,100.0,2000.0,1396/10/27,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,19148.0
2895,16383362,2018-05-27,100.0,7.9,0,147483,5,100.0,790.0,1397/03/06,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14748.0
1435,16805044,2018-08-27,67.49,9.468069,20,14767,5,100.0,639.0,1397/06/05,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14767.0
5048,16460113,2018-06-13,63.0,4.1,0,163676,8,100.0,258.3,1397/03/23,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,16367.0
3285,17058774,2018-11-05,86.65,9.83266,2,14869,5,100.0,852.0,1397/08/14,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,14869.0
2865,16833206,2018-09-03,49.97,5.403242,19,161374,7,100.0,270.0,1397/06/12,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,16137.0
4750,16093922,2018-03-03,60.0,3.5,1,177488,14,100.0,210.0,1396/12/12,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,17748.0
370,16809198,2018-08-28,65.13,6.448641,14,163478,8,100.0,420.0,1397/06/06,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-08-01,16347.0
4300,16586687,2018-07-09,73.77,2.982242,22,178575,16,100.0,220.0,1397/04/18,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,17857.0
2750,16757768,2018-08-14,135.0,10.0,0,174595,13,100.0,1350.0,1397/05/23,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,17459.0
5789,16619649,2018-07-16,86.82,12.324349,6,169361,1,100.0,1070.0,1397/04/25,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16936.0
4272,16963100,2018-10-07,76.31,6.22461,15,165487,4,100.0,475.0,1397/07/15,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,16548.0
5785,17176338,2018-12-11,199.37,21.317149,25,19176,3,100.0,4250.0,1397/09/20,مسکوني,فلزی,2018-01-01,2018-10-01,2018-12-01,19176.0
2337,16668401,2018-07-26,41.9,2.947494,17,133578,11,100.0,123.5,1397/05/04,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-07-01,13357.0
5543,16781153,2018-08-20,147.65,21.672875,0,199873,2,100.0,3200.0,1397/05/29,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,19987.0
404,16493438,2018-06-21,61.95,6.154964,17,168479,4,100.0,381.3,1397/03/31,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,16847.0
1388,16536855,2018-06-29,90.0,9.833333,0,145681,2,100.0,885.0,1397/04/08,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14568.0
5260,16109430,2018-03-06,54.3,2.5230200000000003,21,161975,7,100.0,137.0,1396/12/15,مسکوني,فلزی,2018-01-01,2018-01-01,2018-03-01,16197.0
2675,16248695,2018-04-29,90.28,5.183872,6,176771,14,100.0,468.0,1397/02/09,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,17677.0
4123,15987673,2018-02-04,115.27,3.9906309999999996,2,119561,11,100.0,460.0,1396/11/15,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,11956.0
6609,16447082,2018-06-11,116.66,14.143664999999999,33,148498,5,100.0,1650.0,1397/03/21,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14849.0
2920,15859915,2018-01-03,102.94,3.419468,1,138661,18,100.0,352.0,1396/10/13,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13866.0
1071,16336168,2018-05-18,115.0,7.5,1,145876,2,100.0,862.5,1397/02/28,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14587.0
1378,16729678,2018-08-08,73.0,9.863014,0,147874,5,100.0,720.0,1397/05/17,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14787.0
4914,16992901,2018-10-15,50.13,6.862158,4,171998,14,100.0,344.0,1397/07/23,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,17199.0
3410,15954847,2018-01-26,65.52,3.6172160000000004,0,136576,16,100.0,237.0,1396/11/06,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13657.0
1396,16369643,2018-05-24,87.0,3.172414,0,133795,11,100.0,276.0,1397/03/03,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13379.0
1285,16357590,2018-05-22,152.27,10.507651,18,19389,1,100.0,1600.0,1397/03/01,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,19389.0
5754,16442661,2018-06-11,64.5,9.457364,12,13968,5,100.0,610.0,1397/03/21,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,13968.0
4207,16015529,2018-02-11,47.71,7.189267999999999,23,148474,5,100.0,343.0,1396/11/22,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14847.0
451,16783626,2018-08-20,93.75,13.76,3,19699,3,100.0,1290.0,1397/05/29,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,19699.0
5216,16893614,2018-09-18,84.0,3.214286,17,179984,15,100.0,270.0,1397/06/27,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,17998.0
2148,16214732,2018-04-21,113.24,3.708937,27,14198,6,100.0,420.0,1397/02/01,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,14198.0
4353,17160795,2018-12-08,42.65,12.426729,20,148475,5,100.0,530.0,1397/09/17,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,14847.0
4498,17205996,2018-12-21,105.0,5.07619,0,119171,12,100.0,533.0,1397/09/30,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,11917.0
5612,16822161,2018-09-01,61.16,3.024853,24,115393,12,100.0,185.0,1397/06/10,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,11539.0
943,15867053,2018-01-05,64.5,5.03876,12,165164,8,100.0,325.0,1396/10/15,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,16516.0
2111,16309273,2018-05-13,66.79,4.3419669999999995,22,164867,8,100.0,290.0,1397/02/23,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,16486.0
285,16307618,2018-05-12,106.54,9.292285000000001,5,147178,5,100.0,990.0,1397/02/22,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14717.0
6305,16336784,2018-05-18,60.12,5.988024,26,164968,8,100.0,360.0,1397/02/28,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,16496.0
1519,16664608,2018-07-25,54.54,9.167583,15,163167,7,100.0,500.0,1397/05/03,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16316.0
2181,16091960,2018-03-02,70.94,9.937975999999999,16,19398,3,100.0,705.0,1396/12/11,مسکوني,فلزی,2018-01-01,2018-01-01,2018-03-01,19398.0
5524,16282551,2018-05-07,145.0,12.551724,1,166971,4,100.0,1820.0,1397/02/17,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,16697.0
2060,16254393,2018-04-30,100.6,19.010934,41,143769,6,100.0,1912.5,1397/02/10,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,14376.0
5171,17129458,2018-11-28,51.31,7.405964,0,163791,7,100.0,380.0,1397/09/07,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,16379.0
3357,15970866,2018-01-30,130.0,6.8,0,147589,5,100.0,884.0,1396/11/10,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14758.0
4334,16646221,2018-07-22,135.64,2.948983,4,177978,15,100.0,400.0,1397/04/31,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,17797.0
3019,16221865,2018-04-23,192.83,10.371830000000001,17,19436,3,100.0,2000.0,1397/02/03,مسکوني,بتونی و فلزی,2018-01-01,2018-04-01,2018-04-01,19436.0
1323,16206303,2018-04-18,225.26,18.778301000000003,2,19666,3,100.0,4230.0,1397/01/29,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,19666.0
2494,16006518,2018-02-08,145.7,7.137955000000001,11,166885,4,100.0,1040.0,1396/11/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,16688.0
4019,16236263,2018-04-25,58.2,2.061856,10,136578,16,100.0,120.0,1397/02/05,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,13657.0
3016,16341450,2018-05-19,63.57,3.4922129999999996,15,138885,21,100.0,222.0,1397/02/29,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13888.0
1771,16952372,2018-10-04,50.7,1.6568049999999999,12,116886,12,100.0,84.0,1397/07/12,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,11688.0
4438,16037206,2018-02-16,72.56,4.230981,5,168667,4,100.0,307.0,1396/11/27,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,16866.0
1993,15867740,2018-01-05,80.54,4.097343,15,165574,4,100.0,330.0,1396/10/15,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,16557.0
6448,16837687,2018-09-04,114.26,2.625591,40,171369,13,100.0,300.0,1397/06/13,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,17136.0
1362,16215653,2018-04-21,61.8,4.328479,6,176464,14,100.0,267.5,1397/02/01,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,17646.0
1371,16118248,2018-03-08,106.5,2.413146,1,179864,15,100.0,257.0,1396/12/17,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,17986.0
5658,15937996,2018-01-22,102.0,10.784314,0,166791,4,100.0,1100.0,1396/11/02,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16679.0
2963,16400639,2018-05-30,79.8,7.857142999999999,18,147393,5,100.0,627.0,1397/03/09,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14739.0
3997,15914434,2018-01-16,53.24,2.235162,20,133393,11,100.0,119.0,1396/10/26,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,13339.0
5199,16342003,2018-05-19,75.0,10.266667,2,146981,5,100.0,770.0,1397/02/29,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14698.0
6014,15901560,2018-01-13,112.0,6.071429,0,164593,8,100.0,680.0,1396/10/23,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16459.0
2910,15977874,2018-02-01,64.49,4.264227,4,131393,11,100.0,275.0,1396/11/12,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13139.0
1144,16857812,2018-09-09,84.19,6.473453,6,13887,21,100.0,545.0,1397/06/18,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,13887.0
1807,16980155,2018-10-12,91.49,6.64007,24,145181,2,100.0,607.5,1397/07/20,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,14518.0
1178,16256197,2018-04-30,69.6,3.994253,17,177965,15,100.0,278.0,1397/02/10,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,17796.0
5845,16886216,2018-09-16,145.77,8.883858,38,145186,2,100.0,1295.0,1397/06/25,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,14518.0
2533,16924095,2018-09-28,62.19,3.376749,17,161993,7,100.0,210.0,1397/07/06,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,16199.0
5684,17097759,2018-11-18,80.68,9.60585,0,131394,11,100.0,775.0,1397/08/27,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,13139.0
6165,16921336,2018-09-27,47.99,6.0429260000000005,5,161763,7,100.0,290.0,1397/07/05,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,16176.0
